CO_MUNICIPIO_GESTOR,QTLeitosSUS,QT_NaoSUS,QTLeitosExist,DVLeitos,EXTLeitosPediatrico,QTProfissionais,QTUnidades,QTCNES,DVtpunidade,DVcotpunidade,DVcotpestab,QTHospitais,QTClinicas,QTLaboratorios,QTConsultorios,QTUnidadesBasicas,Municipio,Mesoregiao,RegionaldeSaude,DensidadeDemografica_2010_,PopulacaoEstimada_2021_,IdadeMediaPop,PopRelPediatrica,PopRelIdoso,IDHM_2010_,PIBPerCapita_2020_,PacientesEnv,PacientesRec
221040,26.0,13.0,39.0,5.0,1.0,118.0,33.0,33.0,8.0,1.0,7.0,2.0,0.0,3.0,0.0,23.0,São Miguel do Tapuio,Centro Norte Piauiense,Carnaubais,3.48,17617,33.86,28.13,12.04,556,8543.38,82.0,43.0
220040,38.0,0.0,38.0,5.0,1.0,299.0,37.0,37.0,12.0,1.0,12.0,1.0,2.0,7.0,0.0,20.0,Altos,Centro Norte Piauiense,Entre Rios,40.54,40681,33.98,26.74,11.59,614,11770.84,250.5,101.0
220790,56.0,21.0,77.0,5.0,1.0,239.0,43.0,43.0,11.0,1.0,13.0,2.0,4.0,4.0,5.0,20.0,Pedro II,Centro Norte Piauiense,Cocais,24.7,38812,33.73,29.16,12.43,571,9205.86,263.5,203.0
221130,55.0,0.0,55.0,5.0,1.0,142.0,49.0,49.0,12.0,1.0,12.0,1.0,10.0,5.0,3.0,22.0,Valença do Piauí,Centro Norte Piauiense,Vale Do Sambito,15.23,20940,36.79,23.7,14.59,647,12566.07,154.5,224.0
220780,89.0,3.0,92.0,5.0,1.0,184.5,51.0,51.0,12.0,1.0,14.0,2.0,13.0,4.0,0.0,10.0,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,10.04,20583,32.76,28.97,10.8,600,12296.03,90.0,150.0
220220,166.0,79.0,245.5,5.0,1.0,315.0,90.0,90.0,17.0,1.0,18.0,8.0,15.0,7.0,22.0,22.0,Campo Maior,Centro Norte Piauiense,Carnaubais,26.96,46950,36.08,23.15,12.76,656,14081.19,266.0,369.5
220320,34.0,0.0,34.0,6.0,1.0,78.0,18.0,18.0,7.0,1.0,8.0,1.0,0.0,5.0,0.0,8.0,Curimatá,Sudoeste Piauiense,Chapada Das Mangabeiras,4.6,11461,32.26,30.49,10.28,607,10662.46,95.0,93.5
220230,27.0,0.0,27.0,6.0,1.0,169.5,22.0,22.0,9.0,1.0,9.0,1.0,3.0,4.0,1.0,9.0,Canto do Buriti,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.63,21326,34.39,27.04,12.24,576,12343.66,209.0,144.0
220020,29.0,0.0,29.0,6.0,1.0,125.0,23.0,23.0,11.0,1.0,6.0,1.0,4.0,0.0,0.0,8.0,Água Branca,Centro Norte Piauiense,Entre Rios,169.53,17525,34.26,27.9,12.64,639,12537.11,121.5,68.0
221000,74.0,0.0,74.0,6.0,1.0,139.0,28.0,28.0,10.0,1.0,10.0,2.0,8.0,3.0,4.0,6.0,São João do Piauí,Sudeste Piauiense,Serra Da Capivara,12.8,20720,32.73,28.27,10.22,645,21694.23,102.0,121.5
220050,45.0,0.0,45.0,6.0,1.0,140.0,31.0,31.0,8.0,1.0,8.0,1.0,0.0,5.0,0.0,20.0,Amarante,Centro Norte Piauiense,Entre Rios,14.83,17609,34.92,27.33,13.79,598,10342.85,154.5,117.5
221080,29.0,0.0,29.0,6.0,1.0,93.0,31.0,31.0,13.0,1.0,11.0,1.0,1.0,2.0,5.0,12.0,Simplício Mendes,Sudeste Piauiense,Vale Do Canindè,8.97,12778,34.57,26.27,11.69,627,15128.68,61.0,29.5
220190,59.0,2.0,61.0,6.0,1.0,201.0,38.0,38.0,9.0,1.0,12.0,1.0,11.0,4.0,2.0,14.0,Bom Jesus,Sudoeste Piauiense,Chapada Das Mangabeiras,4.14,25584,30.75,29.35,7.67,668,44512.93,190.0,415.5
220120,81.0,4.0,85.0,6.0,1.0,289.5,54.0,54.0,13.0,1.0,12.0,2.0,5.0,14.0,1.0,24.0,Barras,Norte Piauiense,Cocais,26.08,47298,32.34,29.35,10.54,595,9950.15,242.5,168.0
221060,293.0,0.0,293.0,6.0,1.0,196.0,58.0,58.0,15.0,1.0,13.0,4.0,6.0,12.0,2.0,16.0,São Raimundo Nonato,Sudoeste Piauiense,Serra Da Capivara,13.38,35035,33.03,26.91,9.81,661,15669.4,575.0,977.0
220800,541.0,191.0,732.0,6.0,1.0,511.0,432.0,432.0,18.0,1.0,16.0,11.0,191.0,28.0,87.0,47.0,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,137.3,78627,34.38,23.76,9.85,698,22447.51,323.0,820.0
220840,90.5,28.5,124.0,6.0,1.0,386.5,99.0,99.0,18.0,1.0,14.0,1.0,19.0,16.0,6.0,34.0,Piripiri,Norte Piauiense,Cocais,43.89,63829,34.8,25.73,12.38,635,14159.14,254.0,316.5
