Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
221038,São Miguel da Baixa Grande,Centro Norte Piauiense,Vale Do Sambito,2456,0.0,3.38,23.37,83.83,-0.89,21.94
220070,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,9994,7.14,5.83,27.06,74.39,-5.61,21.76
220710,Olho D'Água do Piauí,Centro Norte Piauiense,Entre Rios,2477,0.0,5.16,24.37,80.61,-1.33,21.76
220777,Patos do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6420,0.0,5.21,23.87,81.92,-2.44,21.71
220675,Nossa Senhora de Nazaré,Centro Norte Piauiense,Carnaubais,4911,0.0,4.78,24.75,83.05,-4.06,21.7
220130,Barreiras do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,3356,0.0,3.53,29.45,76.68,-1.25,21.68
220945,Santo Antônio dos Milagres,Centro Norte Piauiense,Entre Rios,2172,0.0,4.78,28.94,76.07,-1.4,21.68
220465,Ilha Grande,Norte Piauiense,Planície Litorânea,9487,0.0,7.85,28.62,78.04,-6.2,21.66
220887,Ribeira do Piauí,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4499,0.0,5.3,29.44,75.26,-1.7,21.66
221037,São Luis do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,2648,0.0,4.72,23.31,81.21,-0.96,21.66
220935,Santana do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,4650,0.0,5.48,25.86,78.63,-1.92,21.61
220460,Hugo Napoleão,Centro Norte Piauiense,Entre Rios,3880,0.0,6.43,25.23,78.36,-2.07,21.59
220095,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,2551,0.0,5.16,22.05,81.54,-0.96,21.56
220630,Miguel Leão,Centro Norte Piauiense,Entre Rios,1239,0.0,4.23,27.58,76.83,-0.96,21.54
220527,Jatobá do Piauí,Centro Norte Piauiense,Carnaubais,4885,0.0,5.01,24.05,82.28,-3.76,21.52
220605,Massapê do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6456,0.0,6.95,22.64,80.73,-2.8,21.5
220525,Jardim do Mulato,Centro Norte Piauiense,Entre Rios,4522,0.0,7.89,24.37,78.16,-2.95,21.49
221097,Tanque do Piauí,Sudeste Piauiense,Vale Do Canindè,2781,0.0,6.31,24.44,78.49,-1.85,21.48
221035,São Lourenço do Piauí,Sudoeste Piauiense,Serra Da Capivara,4581,0.0,6.54,24.59,80.7,-4.43,21.48
220210,Campinas do Piauí,Sudeste Piauiense,Vale Do Canindè,5628,0.0,6.72,23.04,80.37,-2.8,21.47
