Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220155,Bela Vista do Piauí,Sudeste Piauiense,Vale Do Canindè,4044,0.0,2.4,22.21,73.82,-0.43,19.6
220775,Passagem Franca do Piauí,Centro Norte Piauiense,Entre Rios,4331,0.0,2.02,21.31,75.03,-0.4,19.59
220665,Morro Cabeça no Tempo,Sudoeste Piauiense,Chapada Das Mangabeiras,4527,0.0,2.2,20.09,75.97,-0.49,19.55
220105,Assunção do Piauí,Centro Norte Piauiense,Carnaubais,7879,0.0,3.34,18.69,76.4,-0.74,19.54
220255,Caridade do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5102,0.0,3.01,20.91,74.25,-0.66,19.5
220795,Nova Santa Rita,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4392,0.0,2.41,21.15,74.32,-0.6,19.46
220667,Morro do Chapéu do Piauí,Norte Piauiense,Cocais,6825,0.0,2.12,21.4,74.55,-1.06,19.4
220669,Murici dos Portelas,Norte Piauiense,Planície Litorânea,9258,0.0,2.58,20.48,74.67,-0.83,19.38
220793,Pedro Laurentino,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2551,0.0,2.7,21.46,72.99,-0.28,19.37
220635,Milton Brandão,Centro Norte Piauiense,Cocais,6603,0.0,2.7,19.27,75.76,-1.0,19.35
221135,Várzea Branca,Sudoeste Piauiense,Serra Da Capivara,4930,0.0,2.11,21.25,74.29,-0.94,19.34
221005,São José do Divino,Norte Piauiense,Cocais,5361,0.0,3.69,22.13,71.13,-0.43,19.3
220005,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,7119,0.0,2.2,20.1,75.23,-1.06,19.29
221095,Tamboril do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2939,0.0,2.18,19.26,74.82,-0.28,19.2
220217,Campo Largo do Piauí,Norte Piauiense,Cocais,7342,0.0,3.41,20.09,73.19,-0.88,19.16
220515,Jacobina do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5718,0.0,3.47,20.58,72.25,-0.57,19.15
220885,Riacho Frio,Sudoeste Piauiense,Chapada Das Mangabeiras,4306,0.0,2.84,20.66,72.52,-0.25,19.15
220173,Betânia do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6214,0.0,2.57,19.1,74.76,-0.95,19.1
220211,Campo Alegre do Fidalgo,Sudeste Piauiense,Serra Da Capivara,5093,0.0,2.59,20.54,72.67,-0.43,19.07
220965,São Francisco de Assis do Piauí,Sudeste Piauiense,Vale Do Canindè,5801,0.0,2.3,18.69,74.44,-0.54,18.98
220327,Curral Novo do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5390,0.0,2.13,20.86,72.71,-0.85,18.97
220272,Cocal dos Alves,Norte Piauiense,Planície Litorânea,6180,0.0,2.09,19.52,73.66,-0.72,18.91
220265,Caxingó,Norte Piauiense,Planície Litorânea,5477,0.0,2.75,19.03,72.78,-0.82,18.75
220455,Guaribas,Sudoeste Piauiense,Serra Da Capivara,4573,0.0,2.16,19.31,69.93,-0.89,18.1
